tconst,averageRating,numVotes
tt0011173,6.4,107
tt0011174,7.1,14
tt0011191,7.0,9
tt0011193,6.7,254
tt0011197,5.4,7
tt0011205,7.2,11
tt0011217,6.6,249
tt0011221,6.1,755
tt0011224,5.8,9
tt0011228,3.0,20
tt0011232,5.0,6
tt0011234,4.5,10
tt0011237,7.2,5668
tt0011238,6.1,9
tt0011241,3.2,16
tt0011243,5.0,5
tt0011256,5.4,16
tt0011257,6.0,7
tt0011265,5.3,6
tt0011267,5.3,232
tt0011277,7.9,47
tt0011284,7.0,8
tt0011291,5.7,7
tt0011294,7.2,141
tt0011298,4.5,24
tt0011302,7.1,161
tt0011303,6.6,7
tt0011309,3.5,22
tt0011313,6.5,68
tt0011317,6.7,109
tt0011318,3.3,13
tt0011324,5.8,66
tt0011325,6.9,7
tt0011336,5.3,13
tt0011339,5.0,8
tt0011344,6.9,89
tt0011348,7.4,79
tt0011350,6.8,8
tt0011353,6.6,7
tt0011358,6.6,292
tt0011362,7.0,81
tt0011368,6.3,18
tt0011369,7.2,107
tt0011370,7.1,285
tt0011371,6.8,237
tt0011387,6.9,1004
tt0011393,5.3,64
tt0011394,7.2,32
tt0011396,6.2,22
tt0011401,6.1,77
tt0011413,3.9,11
tt0011414,7.1,125
tt0011415,6.6,81
tt0011421,2.8,10
tt0011433,3.3,17
tt0011435,4.9,8
tt0011439,7.2,1957
tt0011440,6.6,168
tt0011454,6.7,6
tt0011459,5.9,18
tt0011470,1.8,8
tt0011474,6.5,98
tt0011495,4.6,9
tt0011499,7.2,57
tt0011513,5.9,168
tt0011520,2.1,9
tt0011522,7.0,44
tt0011549,4.7,6
tt0011565,7.5,1812
tt0011571,5.6,11
tt0011575,5.9,7
tt0011577,5.3,9
tt0011587,4.2,5
tt0011588,6.8,302
tt0011598,5.0,7
tt0011603,3.0,22
tt0011604,5.2,9
tt0011607,7.4,916
tt0011619,7.4,41
tt0011623,8.8,74
tt0011624,4.9,31
tt0011635,5.2,28
tt0011641,6.6,134
tt0011647,5.7,113
tt0011651,7.2,33
tt0011652,6.2,1287
tt0011654,7.3,44
tt0011667,5.9,9
tt0011679,6.4,245
tt0011687,6.8,6
tt0011691,5.9,7
tt0011692,4.5,11
tt0011693,6.0,8
tt0011694,7.0,6
tt0011695,6.2,13
tt0011716,8.1,545
tt0011717,5.7,67
tt0011721,7.3,77
tt0011723,6.5,682
tt0011738,7.1,8
tt0011741,6.5,187
tt0011742,6.3,556
tt0011753,5.5,139
tt0011756,7.5,10
tt0011757,6.7,16
tt0011758,5.9,7
tt0011765,7.4,7
tt0011771,5.5,10
tt0011779,6.5,168
tt0011785,6.7,23
tt0011797,7.1,10
tt0011805,4.5,10
tt0011812,5.0,7
tt0011816,5.8,8
tt0011830,6.0,24
tt0011833,7.0,352
tt0011837,6.2,310
tt0011841,7.8,4547
tt0011845,7.0,8
tt0011848,7.0,67
tt0011849,7.6,8
tt0011855,6.9,16
tt0011858,5.3,6
tt0011860,5.6,7
tt0011865,7.8,1271
tt0011870,6.4,1913
tt0011874,6.6,34
tt0011877,6.2,11
tt0011880,6.9,10
tt0011881,6.1,24
tt0011886,7.3,15
tt0011890,6.3,6
tt0011904,6.9,981
tt0011906,5.1,30
tt0011907,4.2,8
tt0011908,6.3,92
tt0011909,7.8,1176
tt0011914,7.4,8
tt0011916,6.2,23
tt0011923,5.9,7
tt0011925,5.5,18
tt0011927,6.4,5
tt0011929,7.0,25
tt0011939,4.6,11
tt0011944,5.0,8
tt0011948,7.1,317
tt0011950,6.9,9
tt0011953,5.5,17
tt0011960,7.1,942
tt0011966,7.0,7
tt0011968,4.4,31
tt0011973,6.1,8
tt0011974,5.4,5
tt0011977,6.7,7
tt0011979,6.8,415
